transaction_id,account_id,timestamp,amount,transaction_type,status,description,destination_account_id
TX1000001,ACC10001,2025-04-15T09:15:23Z,1200.00,credit,pending,Salary deposit,
TX1000002,ACC10002,2025-04-15T09:30:45Z,500.00,debit,pending,ATM withdrawal,
TX1000003,ACC10003,2025-04-15T10:05:12Z,1500.00,transfer,pending,Monthly rent payment,ACC10005
TX1000004,ACC10004,2025-04-15T10:22:33Z,75.50,debit,pending,Grocery shopping,
TX1000005,ACC10001,2025-04-15T11:05:00Z,120.00,debit,pending,Utility bill payment,
TX1000006,ACC10006,2025-04-15T11:30:14Z,2000.00,credit,pending,Business income,
TX1000007,ACC10007,2025-04-15T12:01:22Z,15000.00,transfer,pending,Property down payment,ACC10008
TX1000008,ACC10002,2025-04-15T12:15:30Z,200.00,debit,pending,Restaurant charge,
TX1000009,ACC10003,2025-04-15T13:25:40Z,50.00,debit,pending,Online subscription,
TX1000010,ACC10004,2025-04-15T13:45:10Z,1000.00,credit,pending,Client payment,
TX1000011,ACC10005,2025-04-15T14:10:22Z,300.00,debit,pending,Electronics purchase,
TX1000012,ACC10006,2025-04-15T14:30:05Z,450.00,transfer,pending,Invoice payment,ACC10003
TX1000013,ACC10007,2025-04-15T15:05:14Z,85.75,debit,pending,Medical expenses,
TX1000014,ACC10008,2025-04-15T15:22:30Z,65.20,debit,pending,Fuel purchase,
TX1000015,ACC10001,2025-04-15T16:00:17Z,2500.00,transfer,pending,Investment deposit,ACC10010
TX1000016,ACC10002,2025-04-15T16:15:45Z,1200.00,debit,pending,Insurance premium,
TX1000017,ACC10002,2025-04-15T16:30:10Z,150.00,debit,pending,Mobile phone bill,
TX1000018,ACC10002,2025-04-15T16:45:22Z,200.00,debit,pending,Internet service payment,
TX1000019,ACC10003,2025-04-15T17:05:33Z,3000.00,credit,pending,Loan disbursement,
TX1000020,ACC10004,2025-04-15T17:20:10Z,2000.00,transfer,pending,Car loan payment,ACC10009
TX1000021,ACC10005,2025-04-15T17:35:45Z,500.00,credit,pending,Tax refund,
TX1000022,ACC10006,2025-04-15T17:50:30Z,12000.00,credit,pending,Property sale proceeds,
TX1000023,ACC10007,2025-04-15T18:10:15Z,1500.00,debit,pending,Mortgage payment,
TX1000024,ACC10008,2025-04-15T18:25:40Z,250.00,transfer,pending,Rent collection,ACC10006
TX1000025,ACC10009,2025-04-15T18:40:22Z,100.00,debit,pending,Streaming services,
TX1000026,ACC10001,2025-04-15T19:00:05Z,150.00,debit,pending,Dining out,
TX1000027,ACC10002,2025-04-15T19:15:33Z,50.00,debit,pending,Transportation,
TX1000028,ACC10003,2025-04-15T19:30:12Z,2000.00,transfer,pending,Investment withdrawal,ACC10001
TX1000029,ACC10010,2025-04-15T19:45:50Z,300.00,debit,pending,Home repairs,
TX1000030,ACC10010,2025-04-15T20:00:22Z,600.00,credit,pending,Freelance income,
